Product URL,Product Name,Product Price,Product Rating,Number of reviews,description,product_asin,product_description,manufacturer
https://amazon.com/sspa/click?ie=UTF8&spc=MToyNDQ1NjQ5MTE2NjE1MjI4OjE2NzUzNTQwNDk6c3BfYXRmOjIwMTA0MTQwMjYzNjk4OjowOjo&url=%2FUrban-Tribe-Laptop-Backpack-Havana%2Fdp%2FB01LXNNFDF%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675354049%26sprefix%3Dba%252Caps%252C283%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1%26smid%3DA385M0TPSNV7VS,"URBAN TRIBE Havana 15.6"" inch Laptop Backpack for Men and Women | 27L Office/Work/Casual Bag | Water Repellent | Black  ",998,3.9 out of 5 stars,(684)  ,"This fits your .
     
  Make sure this fits by entering your model number. 
 
 Laptop Compatibility: Yes, Laptop size: 15.6 inches    Outer Material: Polyester, Color: Black    Water Resistance: Water resistant    Dimensions: 33 cms x 17.5 cms x 47 cms (LxWxH)    type: Manufacturer; against manufacturing defects",B01LXNNFDF  ,"This fits your .
     
  Make sure this fits by entering your model number. 
 
 Laptop Compatibility: Yes, Laptop size: 15.6 inches    Outer Material: Polyester, Color: Black    Water Resistance: Water resistant    Dimensions: 33 cms x 17.5 cms x 47 cms (LxWxH)    type: Manufacturer; against manufacturing defects",Backpack International Pvt Ltd  
https://amazon.com/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=ice_ac_b_dpb?crid=2M096C61O4MLT&keywords=bags&qid=1675354049&sprefix=ba%2Caps%2C283&sr=8-4,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black)  ,565,4.3 out of 5 stars,4.34.3 out of 5 stars ,"This fits your .
     
  Make sure this fits by entering your model number. 
 
 30L Capacity: The Backpack has a padded laptop compartment that can fit 15.6 inch laptop. It can also accommodate essentials such as a Lunch box, Charger, Tablet, Books, Power Bank, Wallet, and Sunglass.    Multi-Level Organizer: The backpack has a front zipper pocket for the ID card, Sanitizer, House keys, Pen. First compartment with pockets for the earphones, pens, notebook, Fitness Band. Spacious second compartment for all your electronics.    Ergonomic Design: Thick cushioning around the shoulders and on the back panel makes the backpack super light and comfortable on the move. “S” Shaped shoulder strap distribute the weight of the backpack across your upper body.    Made In India: Wesley Business Casual Backpack is fully manufactured in India and pass through stringent quality tests and checks    1 Year Warranty: The Wesley Business casual backpack comes with 1 year of warranty    Water Resistant Material: Advanced IPX4 coating on the material ensures resistance to water entering from any direction.",B084JGJ8PF  ,"This fits your .
     
  Make sure this fits by entering your model number. 
 
 30L Capacity: The Backpack has a padded laptop compartment that can fit 15.6 inch laptop. It can also accommodate essentials such as a Lunch box, Charger, Tablet, Books, Power Bank, Wallet, and Sunglass.    Multi-Level Organizer: The backpack has a front zipper pocket for the ID card, Sanitizer, House keys, Pen. First compartment with pockets for the earphones, pens, notebook, Fitness Band. Spacious second compartment for all your electronics.    Ergonomic Design: Thick cushioning around the shoulders and on the back panel makes the backpack super light and comfortable on the move. “S” Shaped shoulder strap distribute the weight of the backpack across your upper body.    Made In India: Wesley Business Casual Backpack is fully manufactured in India and pass through stringent quality tests and checks    1 Year Warranty: The Wesley Business casual backpack comes with 1 year of warranty    Water Resistant Material: Advanced IPX4 coating on the material ensures resistance to water entering from any direction.",Wesley  
https://amazon.com/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1675354049&sprefix=ba%2Caps%2C283&sr=8-5,ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue)  ,499,3.9 out of 5 stars,(462)  ,"This fits your .
     
  Make sure this fits by entering your model number. 
 
 Material: Water Resistant Light-Weight Polyester    Compartments: 2 with padding; Laptop Size: 15.6 inch and below    Dimensions: LxWxH - 12.5 x 7.5 x 19 inches    Reflector Logo / Adjustable Padded Shoulder Straps / 2 Bottle holders    Closure Type: Zipper",B09TPX22NF  ,"This fits your .
     
  Make sure this fits by entering your model number. 
 
 Material: Water Resistant Light-Weight Polyester    Compartments: 2 with padding; Laptop Size: 15.6 inch and below    Dimensions: LxWxH - 12.5 x 7.5 x 19 inches    Reflector Logo / Adjustable Padded Shoulder Straps / 2 Bottle holders    Closure Type: Zipper",ADISA  
https://amazon.com/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07K8KLB3P/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1675354049&sprefix=ba%2Caps%2C283&sr=8-8,"Wesley Unisex Milestone Casual Waterproof Laptop Office School College Business Travel Backpack 25 L (Dimensions: 12.5x18 inches) (Compatible with 15.6 inch laptops), Navy Blue  ",498,4.3 out of 5 stars,"(12,104)  ","This fits your .
     
  Make sure this fits by entering your model number. 
 
 Pattern Type : Pure Color || Closure Type : Zipper || Gender : Unisex    Material : Snow Yarn Polyester Fabric || Handle/Strap Type : Soft Handle/Adjustable Shoulder Straps    Dimensions : 13 * 18.5 Inch || Capacity : 25 Litre || Fit for 15.6 Inch Laptops/Notebooks    Two Side Water Bottle Pockets || One Main Compartment And A Front Pocket    Eco-friendly, Durable, Lightweight, Flexible And Water-Resistant Material Helps To Keep The Interior Dry",B07K8KLB3P  ,"This fits your .
     
  Make sure this fits by entering your model number. 
 
 Pattern Type : Pure Color || Closure Type : Zipper || Gender : Unisex    Material : Snow Yarn Polyester Fabric || Handle/Strap Type : Soft Handle/Adjustable Shoulder Straps    Dimensions : 13 * 18.5 Inch || Capacity : 25 Litre || Fit for 15.6 Inch Laptops/Notebooks    Two Side Water Bottle Pockets || One Main Compartment And A Front Pocket    Eco-friendly, Durable, Lightweight, Flexible And Water-Resistant Material Helps To Keep The Interior Dry",Wesley  
https://amazon.com/sspa/click?ie=UTF8&spc=MToyNDQ1NjQ5MTE2NjE1MjI4OjE2NzUzNTQwNDk6c3BfbXRmOjIwMDc4OTIwNzc5Mzk4OjowOjo&url=%2FScanSmart-Backpack-Designed-blend-function-612014%2Fdp%2FB09V1GJ7D6%2Fref%3Dsr_1_11_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675354049%26sprefix%3Dba%252Caps%252C283%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"Wenger 17.5"" ScanSmart Laptop Backpack, 30 Litres, Black, Swiss Designed-blend of style & function, 612014  ","5,600",4.0 out of 5 stars,(21)  ,"This fits your .
     
  Make sure this fits by entering your model number. 
 
 FUNCTIONALITY WITH STYLE: The Wenger 17.5"" ScanSmart Laptop Backpack allows you to breeze through airport security with ease as it offers superior protection for your laptop at airport security controls and a dedicated tablet pocket. Travel with confidence with your valuable items securely stored in your well-built backpack.    OPTIMUM COMFORT: Reinforced soft-grip grab handle for easy carrying. The Airflow back padding keeps wearer cool. The Shock-absorbing shoulder straps provides maximum comfort. Plethora of features to make you a distinguished traveler.    COMPREHENSIVE FEATURES: An ample main compartment integrates a mesh adapters zip pocket for cords, chargers and other tech accessories. While weaving through airport traffic, grab a cool drink from its side zip pockets. Featuring a convenient front pocket and an organizer compartment with multiple divider pockets, leave your MetroCard, smartphone, and supplies ready whenever you are.    TECHNICAL SPECIFICATIONS: Dimensions: 46 x 24 x 35 cm Weight: 0.9 kg Capacity: 30 L    5 YEAR WENGER WARRANTY: Our products undergo strict quality controls & rigorous testing standards. Nevertheless, should you encounter a problem with your product, we are offering you a 5-year warranty.",B09V1GJ7D6  ,"This fits your .
     
  Make sure this fits by entering your model number. 
 
 FUNCTIONALITY WITH STYLE: The Wenger 17.5"" ScanSmart Laptop Backpack allows you to breeze through airport security with ease as it offers superior protection for your laptop at airport security controls and a dedicated tablet pocket. Travel with confidence with your valuable items securely stored in your well-built backpack.    OPTIMUM COMFORT: Reinforced soft-grip grab handle for easy carrying. The Airflow back padding keeps wearer cool. The Shock-absorbing shoulder straps provides maximum comfort. Plethora of features to make you a distinguished traveler.    COMPREHENSIVE FEATURES: An ample main compartment integrates a mesh adapters zip pocket for cords, chargers and other tech accessories. While weaving through airport traffic, grab a cool drink from its side zip pockets. Featuring a convenient front pocket and an organizer compartment with multiple divider pockets, leave your MetroCard, smartphone, and supplies ready whenever you are.    TECHNICAL SPECIFICATIONS: Dimensions: 46 x 24 x 35 cm Weight: 0.9 kg Capacity: 30 L    5 YEAR WENGER WARRANTY: Our products undergo strict quality controls & rigorous testing standards. Nevertheless, should you encounter a problem with your product, we are offering you a 5-year warranty.",Victorinox  
https://amazon.com/Martucci-Casual-Travelling-Laptop-Backpack/dp/B088B4P6ZW/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1675354049&sprefix=ba%2Caps%2C283&sr=8-15,Martucci 15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack(Black)  ,565,4.0 out of 5 stars,"(6,987)  ","This fits your .
     
  Make sure this fits by entering your model number. 
 
 Material: Polyester Fabric, Closure Type: Zipper, Gender: Unisex    Handle/Strap Type: Soft Handle/Adjustable Shoulder Straps    Dimensions: (7x13x20) (WxLxH) Inch, Capacity: 30 Liter    Two Side Water Bottle Pockets 2 Main Compartment and 1 Front Pocket    Look stylish in your professional arena with Vader Laptop Backpacks which fits up to 15.6 Inch laptop. It has 2 spacious compartments with 1 front pocket to keep your knick-knacks",B088B4P6ZW  ,"This fits your .
     
  Make sure this fits by entering your model number. 
 
 Material: Polyester Fabric, Closure Type: Zipper, Gender: Unisex    Handle/Strap Type: Soft Handle/Adjustable Shoulder Straps    Dimensions: (7x13x20) (WxLxH) Inch, Capacity: 30 Liter    Two Side Water Bottle Pockets 2 Main Compartment and 1 Front Pocket    Look stylish in your professional arena with Vader Laptop Backpacks which fits up to 15.6 Inch laptop. It has 2 spacious compartments with 1 front pocket to keep your knick-knacks",Martucci  
https://amazon.com/Northzone-Waterproof-Backpack-Business-Dimensions/dp/B0BS6QQZYN/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1675354049&sprefix=ba%2Caps%2C283&sr=8-18,Northzone Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L  ,510,5.0 out of 5 stars,(2)  ,"This fits your .
     
  Make sure this fits by entering your model number. 
 
 Sleek, Stylish and Premium: Heavy duty ultra premium bag with exterior dimensions 44x29x15 cms. Made of Durable Polyester Fabric with Double zippers. sturdy durable, scratch resistant.; Multi Utility Bag: It is not only a student backpack, but also can be used as a business/work backpack, travelling, office, computer bag, hiking bag, daily bag and a lot more.    Storage Space: There is a separate laptop compartment inside the backpack that can hold upto 15.6 inches laptop. The internal packaging compartment and external pockets can hold daily necessities, keeping your items organized and easier to find.    Quick Storage: The front and side zipper pockets of the backpack are convenient for storing tablets, diaries, pens and pencils, smartphones, cards, change, etc. The side pockets of the backpack are convenient for storing compact umbrellas and other small items.",B0BS6QQZYN  ,"This fits your .
     
  Make sure this fits by entering your model number. 
 
 Sleek, Stylish and Premium: Heavy duty ultra premium bag with exterior dimensions 44x29x15 cms. Made of Durable Polyester Fabric with Double zippers. sturdy durable, scratch resistant.; Multi Utility Bag: It is not only a student backpack, but also can be used as a business/work backpack, travelling, office, computer bag, hiking bag, daily bag and a lot more.    Storage Space: There is a separate laptop compartment inside the backpack that can hold upto 15.6 inches laptop. The internal packaging compartment and external pockets can hold daily necessities, keeping your items organized and easier to find.    Quick Storage: The front and side zipper pockets of the backpack are convenient for storing tablets, diaries, pens and pencils, smartphones, cards, change, etc. The side pockets of the backpack are convenient for storing compact umbrellas and other small items.",SHABA BAGS  
https://amazon.com/sspa/click?ie=UTF8&spc=MToyNDQ1NjQ5MTE2NjE1MjI4OjE2NzUzNTQwNDk6c3BfYnRmOjIwMDc0NzY4NzE0ODk4OjowOjo&url=%2FNORTH-ZONE-backpack-INVALID-DATA_navy%2Fdp%2FB0BCYX6DW2%2Fref%3Dsr_1_21_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675354049%26sprefix%3Dba%252Caps%252C283%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,NORTH ZONE 25 ltrs (10 Cms) backpack(INVALID DATA_navy blue)  ,664,4.0 out of 5 stars,(399)  ,"This fits your .
     
  Make sure this fits by entering your model number. 
 
 COMPATIBLE WITH 15.6 INCH LAPTOP”: The Northzone Backpack fits up to 15.6 inch laptop. Dimensions: 34cm x 15cm x 45.5cm; Weight: 499g    HIGH QUALITY, DURABLE AND WATER REPELLANT FABRIC”: This backpack features in durable snow yarn polyester fabric and streamlined design with a padded interior to protect notebooks and important items    CONVENIENT TRAVEL"" Adjustable shoulder strap and padded laptop compartment together with a quilted back panel make it comfortable for all-day use    CONVENIENTLY PLACED PADDED LAPTOP COMPARTMENTS AND POCKETS: The padded interior helps protect notebooks and important items. Quick access zippered front pocket for added storage. A quilted back panel make it comfortable for all-day use.    HIGH QUALITY, CASUAL YET STYLISH DESIGN"": very attractive and perfect for school, travel and outdoor activities. The perfect backpack for those needing stylish all-day protection for their laptop.",B0BCYX6DW2  ,"This fits your .
     
  Make sure this fits by entering your model number. 
 
 COMPATIBLE WITH 15.6 INCH LAPTOP”: The Northzone Backpack fits up to 15.6 inch laptop. Dimensions: 34cm x 15cm x 45.5cm; Weight: 499g    HIGH QUALITY, DURABLE AND WATER REPELLANT FABRIC”: This backpack features in durable snow yarn polyester fabric and streamlined design with a padded interior to protect notebooks and important items    CONVENIENT TRAVEL"" Adjustable shoulder strap and padded laptop compartment together with a quilted back panel make it comfortable for all-day use    CONVENIENTLY PLACED PADDED LAPTOP COMPARTMENTS AND POCKETS: The padded interior helps protect notebooks and important items. Quick access zippered front pocket for added storage. A quilted back panel make it comfortable for all-day use.    HIGH QUALITY, CASUAL YET STYLISH DESIGN"": very attractive and perfect for school, travel and outdoor activities. The perfect backpack for those needing stylish all-day protection for their laptop.",Northzone  
https://amazon.com/sspa/click?ie=UTF8&spc=MToyNDQ1NjQ5MTE2NjE1MjI4OjE2NzUzNTQwNDk6c3BfYnRmOjIwMDY1NTMzNjg0Njk4OjowOjo&url=%2FPOLICE-ltrs-cms-backpack-PTO020008_1_black%2Fdp%2FB0B81YTTWS%2Fref%3Dsr_1_22_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675354049%26sprefix%3Dba%252Caps%252C283%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"uppercase Medium 23 Ltrs Tall Boy (14.6 inch) Laptop Backpack 2500EBP1 3x more water resistant sustainable bag with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty  ","1,700",4.1 out of 5 stars,(157)  ,"This fits your .
     
  Make sure this fits by entering your model number. 
 
 Handcrafted with care and made up of premium quality robust material, Wrinkle free bag and 3x more water resistant with Rainproof zippers    Right sized with sturdy stitching; Dimension: (30.5 cm x 16.2 cm x 46cm); Warranty: 750 days international warranty; Trolley sleeve to securely place the bags on the luggage    GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596)    Padded laptop compartment fits up to 17”, Back padding with Air mesh    Front access pocket for you to easily carry important small items with two bottle holders on the sides, Pocket on the top gives you easy access to your sunglasses or wallet",B0B81YTTWS  ,"This fits your .
     
  Make sure this fits by entering your model number. 
 
 Handcrafted with care and made up of premium quality robust material, Wrinkle free bag and 3x more water resistant with Rainproof zippers    Right sized with sturdy stitching; Dimension: (30.5 cm x 16.2 cm x 46cm); Warranty: 750 days international warranty; Trolley sleeve to securely place the bags on the luggage    GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596)    Padded laptop compartment fits up to 17”, Back padding with Air mesh    Front access pocket for you to easily carry important small items with two bottle holders on the sides, Pocket on the top gives you easy access to your sunglasses or wallet",Acefour Accessories Pvt. Ltd.  
https://amazon.com/sspa/click?ie=UTF8&spc=MToxMDg3OTcxODM4MjA1NDg1OjE2NzUzNTQxMjQ6c3BfYXRmX25leHQ6MjAxMDQxNDAyNjM2OTg6OjA6Og&url=%2FUrban-Tribe-Laptop-Backpack-Havana%2Fdp%2FB01LXNNFDF%2Fref%3Dsr_1_17_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675354124%26sprefix%3Dba%252Caps%252C283%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1%26smid%3DA385M0TPSNV7VS,"URBAN TRIBE Havana 15.6"" inch Laptop Backpack for Men and Women | 27L Office/Work/Casual Bag | Water Repellent | Black  ",998,3.9 out of 5 stars,684  ,"This fits your .
     
  Make sure this fits by entering your model number. 
 
 Laptop Compatibility: Yes, Laptop size: 15.6 inches    Outer Material: Polyester, Color: Black    Water Resistance: Water resistant    Dimensions: 33 cms x 17.5 cms x 47 cms (LxWxH)    type: Manufacturer; against manufacturing defects",B01LXNNFDF  ,"This fits your .
     
  Make sure this fits by entering your model number. 
 
 Laptop Compatibility: Yes, Laptop size: 15.6 inches    Outer Material: Polyester, Color: Black    Water Resistance: Water resistant    Dimensions: 33 cms x 17.5 cms x 47 cms (LxWxH)    type: Manufacturer; against manufacturing defects",Backpack International Pvt Ltd  
